Keyword;URL;Fecha;Pais;Categoria;Subcategoria;Personaje;Marca;Semana;Keyword3;Grupo/Empresa/owner derechos;Franquicia;Sub-Franquicia;Contenido;Personaje2
matcha;https://listado.mercadolibre.com.ar/matcha#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;matcha;;;;;
chocolate;https://listado.mercadolibre.com.ar/chocolate#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;chocolate;;;;;
combo golosinas;https://listado.mercadolibre.com.ar/combo-golosinas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;combo golosinas;;;;;
te matcha;https://listado.mercadolibre.com.ar/te-matcha#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;te matcha;;;;;
cafe en grano;https://listado.mercadolibre.com.ar/cafe-en-grano#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;cafe en grano;;;;;
alfajores;https://listado.mercadolibre.com.ar/alfajores#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;alfajores;;;;;
aceite de oliva;https://listado.mercadolibre.com.ar/aceite-de-oliva#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;aceite de oliva;;;;;
takis;https://listado.mercadolibre.com.ar/takis#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;takis;;;;;
oro;https://listado.mercadolibre.com.ar/oro#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;oro;;;;;
gomitas;https://listado.mercadolibre.com.ar/gomitas#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;gomitas;;;;;
yerba;https://listado.mercadolibre.com.ar/yerba#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;;2022-08-22;yerba;;;;;
erva terere;https://lista.mercadolivre.com.br/erva-terere#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;erva terere;;;;;
cha;https://lista.mercadolivre.com.br/cha#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;cha;;;;;
forminha doces finos;https://lista.mercadolivre.com.br/forminha-doces-finos#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;forminha doces finos;;;;;
algodao doce;https://lista.mercadolivre.com.br/algodao-doce#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;algodao doce;;;;;
molho de tomate;https://lista.mercadolivre.com.br/molho-de-tomate#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;Tomate;2022-08-22;molho de tomate;;;;;
trento;https://lista.mercadolivre.com.br/trento#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;trento;;;;;
vinagre organico maça;https://lista.mercadolivre.com.br/vinagre-organico-maça#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;vinagre organico maça;;;;;
castanha do para;https://lista.mercadolivre.com.br/castanha-do-para#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;castanha do para;;;;;
capsula cafe nespresso;https://lista.mercadolivre.com.br/capsula-cafe-nespresso#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;Nespresso;2022-08-22;capsula cafe nespresso;;;;;
vinagre de maca organico;https://lista.mercadolivre.com.br/vinagre-de-maca-organico#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;vinagre de maca organico;;;;;
nutella;https://lista.mercadolivre.com.br/nutella#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;Nutella;2022-08-22;nutella;;;;;
chocolate;https://lista.mercadolivre.com.br/chocolate#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;chocolate;;;;;
arroz;https://lista.mercadolivre.com.br/arroz#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;arroz;;;;;
açucar sache;https://lista.mercadolivre.com.br/açucar-sache#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;açucar sache;;;;;
caviar;https://lista.mercadolivre.com.br/caviar#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;caviar;;;;;
doces;https://lista.mercadolivre.com.br/doces#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;doces;;;;;
bolacha;https://lista.mercadolivre.com.br/bolacha#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;bolacha;;;;;
açucar;https://lista.mercadolivre.com.br/açucar#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;açucar;;;;;
macarrao;https://lista.mercadolivre.com.br/macarrao#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;macarrao;;;;;
geleia;https://lista.mercadolivre.com.br/geleia#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;geleia;;;;;
paçoca;https://lista.mercadolivre.com.br/paçoca#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;paçoca;;;;;
milka;https://lista.mercadolivre.com.br/milka#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;milka;;;;;
xarope monin;https://lista.mercadolivre.com.br/xarope-monin#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;xarope monin;;;;;
aveia;https://lista.mercadolivre.com.br/aveia#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;aveia;;;;;
sal;https://lista.mercadolivre.com.br/sal#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;sal;;;;;
maionese;https://lista.mercadolivre.com.br/maionese#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;maionese;;;;;
salgadinho;https://lista.mercadolivre.com.br/salgadinho#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;salgadinho;;;;;
oleo de soja;https://lista.mercadolivre.com.br/oleo-de-soja#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;oleo de soja;;;;;
capuccino;https://lista.mercadolivre.com.br/capuccino#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;capuccino;;;;;
pipoca;https://lista.mercadolivre.com.br/pipoca#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;pipoca;;;;;
doces atacado;https://lista.mercadolivre.com.br/doces-atacado#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;doces atacado;;;;;
doce;https://lista.mercadolivre.com.br/doce#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;doce;;;;;
feijao;https://lista.mercadolivre.com.br/feijao#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;feijao;;;;;
alimentos;https://lista.mercadolivre.com.br/alimentos#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;alimentos;;;;;
biscoitos amanteigados;https://lista.mercadolivre.com.br/biscoitos-amanteigados#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;biscoitos amanteigados;;;;;
arroz 5 kg;https://lista.mercadolivre.com.br/arroz-5-kg#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;arroz 5 kg;;;;;
manteiga ghee;https://lista.mercadolivre.com.br/manteiga-ghee#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;manteiga ghee;;;;;
capsulas dolce gusto;https://lista.mercadolivre.com.br/capsulas-dolce-gusto#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;Dolce Gusto;2022-08-22;capsulas dolce gusto;;;;;
pasta de amendoim;https://lista.mercadolivre.com.br/pasta-de-amendoim#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;pasta de amendoim;;;;;
capsulas nespresso;https://lista.mercadolivre.com.br/capsulas-nespresso#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;Nespresso;2022-08-22;capsulas nespresso;;;;;
capsula dolce gusto;https://lista.mercadolivre.com.br/capsula-dolce-gusto#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;Dolce Gusto;2022-08-22;capsula dolce gusto;;;;;
pasta de amendoim integral;https://lista.mercadolivre.com.br/pasta-de-amendoim-integral#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;pasta de amendoim integral;;;;;
cafe;https://lista.mercadolivre.com.br/cafe#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;cafe;;;;;
cesta basica;https://lista.mercadolivre.com.br/cesta-basica#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;cesta basica;;;;;
azeite;https://lista.mercadolivre.com.br/azeite#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;azeite;;;;;
pasta amendoim;https://lista.mercadolivre.com.br/pasta-amendoim#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;pasta amendoim;;;;;
biscoito;https://lista.mercadolivre.com.br/biscoito#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;;2022-08-22;biscoito;;;;;
aro;https://listado.mercadolibre.cl/aro#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;aro;;;;;
vinagre de limpieza;https://listado.mercadolibre.cl/vinagre-de-limpieza#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;vinagre de limpieza;;;;;
pimienta dulce;https://listado.mercadolibre.cl/pimienta-dulce#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;pimienta dulce;;;;;
tortas;https://listado.mercadolibre.cl/tortas#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;tortas;;;;;
pimienta de jamaica;https://listado.mercadolibre.cl/pimienta-de-jamaica#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;pimienta de jamaica;;;;;
torta;https://listado.mercadolibre.cl/torta#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;torta;;;;;
conservadora;https://listado.mercadolibre.cl/conservadora#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;conservadora;;;;;
dulces mexicanos;https://listado.mercadolibre.cl/dulces-mexicanos#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;dulces mexicanos;;;;;
knop;https://listado.mercadolibre.cl/knop#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;knop;;;;;
levadura nutricional;https://listado.mercadolibre.cl/levadura-nutricional#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;levadura nutricional;;;;;
chocolate;https://listado.mercadolibre.cl/chocolate#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;chocolate;;;;;
azucar;https://listado.mercadolibre.cl/azucar#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;azucar;;;;;
arroz;https://listado.mercadolibre.cl/arroz#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;arroz;;;;;
atun;https://listado.mercadolibre.cl/atun#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;atun;;;;;
nutella gigante;https://listado.mercadolibre.cl/nutella-gigante#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;Nutella;2022-08-22;nutella gigante;;;;;
milo;https://listado.mercadolibre.cl/milo#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;milo;;;;;
mantequilla de mani;https://listado.mercadolibre.cl/mantequilla-de-mani#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;mantequilla de mani;;;;;
charqui;https://listado.mercadolibre.cl/charqui#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;charqui;;;;;
azucar sachet;https://listado.mercadolibre.cl/azucar-sachet#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;azucar sachet;;;;;
kimchi;https://listado.mercadolibre.cl/kimchi#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;kimchi;;;;;
chia;https://listado.mercadolibre.cl/chia#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;chia;;;;;
maruchan;https://listado.mercadolibre.cl/maruchan#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;maruchan;;;;;
cereales;https://listado.mercadolibre.cl/cereales#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;cereales;;;;;
aceite vegetal merkat;https://listado.mercadolibre.cl/aceite-vegetal-merkat#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;aceite vegetal merkat;;;;;
atun lomitos;https://listado.mercadolibre.cl/atun-lomitos#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;atun lomitos;;;;;
andina grains;https://listado.mercadolibre.cl/andina-grains#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;andina grains;;;;;
porotos;https://listado.mercadolibre.cl/porotos#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;porotos;;;;;
nestle professional;https://listado.mercadolibre.cl/nestle-professional#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;Nestle;2022-08-22;nestle professional;;;;;
papayas;https://listado.mercadolibre.cl/papayas#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;papayas;;;;;
manjar;https://listado.mercadolibre.cl/manjar#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;manjar;;;;;
nestle;https://listado.mercadolibre.cl/nestle#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;Nestle;2022-08-22;nestle;;;;;
unimarc;https://listado.mercadolibre.cl/unimarc#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;unimarc;;;;;
mantequilla mani;https://listado.mercadolibre.cl/mantequilla-mani#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;mantequilla mani;;;;;
caja dulces japoneses;https://listado.mercadolibre.cl/caja-dulces-japoneses#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;caja dulces japoneses;;;;;
cereal;https://listado.mercadolibre.cl/cereal#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;cereal;;;;;
sopas maruchan;https://listado.mercadolibre.cl/sopas-maruchan#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;sopas maruchan;;;;;
carozzi;https://listado.mercadolibre.cl/carozzi#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;carozzi;;;;;
tapioca;https://listado.mercadolibre.cl/tapioca#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;tapioca;;;;;
caja de aceite vegetal;https://listado.mercadolibre.cl/caja-de-aceite-vegetal#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;caja de aceite vegetal;;;;;
milo nestle;https://listado.mercadolibre.cl/milo-nestle#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;Nestle;2022-08-22;milo nestle;;;;;
super 8;https://listado.mercadolibre.cl/super-8#trend;2022-08-26;Chile;Alimentos y Bebidas;Almacén;;;2022-08-22;super 8;;;;;
