Keyword;URL;Fecha;Pais;Categoria;Subcategoria;Personaje;Marca
yerba;https://listado.mercadolibre.com.ar/yerba#trend;2022-08-26;Argentina;Alimentos y Bebidas;Almacén;;
erva terere;https://lista.mercadolivre.com.br/erva-terere#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
cha;https://lista.mercadolivre.com.br/cha#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
forminha doces finos;https://lista.mercadolivre.com.br/forminha-doces-finos#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
algodao doce;https://lista.mercadolivre.com.br/algodao-doce#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
molho de tomate;https://lista.mercadolivre.com.br/molho-de-tomate#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;tomate
trento;https://lista.mercadolivre.com.br/trento#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
vinagre organico maça;https://lista.mercadolivre.com.br/vinagre-organico-maça#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
castanha do para;https://lista.mercadolivre.com.br/castanha-do-para#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
capsula cafe nespresso;https://lista.mercadolivre.com.br/capsula-cafe-nespresso#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;nespresso
vinagre de maca organico;https://lista.mercadolivre.com.br/vinagre-de-maca-organico#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
nutella;https://lista.mercadolivre.com.br/nutella#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;nutella
chocolate;https://lista.mercadolivre.com.br/chocolate#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
arroz;https://lista.mercadolivre.com.br/arroz#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
açucar sache;https://lista.mercadolivre.com.br/açucar-sache#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
caviar;https://lista.mercadolivre.com.br/caviar#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
doces;https://lista.mercadolivre.com.br/doces#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
bolacha;https://lista.mercadolivre.com.br/bolacha#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
açucar;https://lista.mercadolivre.com.br/açucar#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
macarrao;https://lista.mercadolivre.com.br/macarrao#trend;2022-08-26;Brasil;Alimentos y Bebidas;Almacén;;
